control_id,domain,status,title,assertion,technical_parameter,expected_value,evidence_sources,policy_path,collector_fields,ism,nzism,e8_maturity,soc2_criteria,iso27001,apra_cps220,notes
IATO-AC-001,Access Control,planned,Centralised identity inventory,Every evaluated account is sourced from an approved enterprise identity provider and is uniquely attributable.,accounts[].provider; accounts[].id,provider is approved and id is non-empty,Identity provider account export; tenant metadata,,accounts[].provider; accounts[].id,Identity and access management,Identity and access management,Restrict Administrative Privileges - ML3,CC6.1; CC6.2,A.5.16; A.5.17,CPS 220 operational risk control inventory,External framework tags are crosswalk indicators and require assessor validation for engagement scope.
IATO-AC-002,Access Control,planned,Unique user identities,Shared user accounts are not present outside explicitly approved break-glass scope.,accounts[].shared; accounts[].break_glass,false unless break_glass is true,Identity account inventory; exception register,,accounts[].shared; accounts[].break_glass,Account management,User identification and authentication,Restrict Administrative Privileges - ML3,CC6.1,A.5.16; A.5.18,CPS 220 access control design,External framework tags are crosswalk indicators and require assessor validation for engagement scope.
IATO-AC-003,Access Control,planned,Disabled stale accounts,Human accounts inactive beyond the approved threshold are disabled or removed.,accounts[].last_sign_in_days; accounts[].enabled,enabled is false when last_sign_in_days exceeds threshold,Identity sign-in logs; account status export,,accounts[].last_sign_in_days; accounts[].enabled,Account lifecycle management,Account management,Restrict Administrative Privileges - ML3,CC6.2; CC6.3,A.5.18,CPS 220 control effectiveness monitoring,Threshold is set by local policy and recorded with evidence.
IATO-AC-004,Access Control,planned,Joiner mover leaver timeliness,Identity lifecycle changes are completed within the defined service level objective.,identity_events[].completed_within_slo,true for every lifecycle event,HR feed reconciliation; identity change log,,identity_events[].completed_within_slo,Personnel and account management,Personnel security and access management,Restrict Administrative Privileges - ML3,CC6.2,A.5.11; A.5.18,CPS 220 operational risk controls,Service level objective must be declared in the assessment profile.
IATO-AC-005,Access Control,planned,Least privilege role assignment,Assigned roles do not exceed the approved role baseline for the account owner and workload purpose.,accounts[].role_assignments[].approved,true for every role assignment,Role inventory; access request approvals,,accounts[].role_assignments,Privileged access management,Privileged access management,Restrict Administrative Privileges - ML3,CC6.2; CC6.6,A.5.15; A.5.18,CPS 220 control design and testing,Role baseline is maintained outside this index.
IATO-AC-006,Access Control,planned,Administrative separation of duties,Conflicting privileged duties are not assigned to the same identity without documented approval.,accounts[].conflicting_duties,false unless exception is approved,Role matrix; exception register,,accounts[].conflicting_duties,Separation of duties,Privileged access management,Restrict Administrative Privileges - ML3,CC6.3,A.5.3; A.5.18,CPS 220 governance and controls,Conflict matrix must be supplied by the control owner.
IATO-AC-007,Access Control,planned,Privileged access review cadence,Privileged access assignments have been reviewed within the approved review interval.,accounts[].privileged_review_age_days,less than or equal to review interval,Access review campaign export; reviewer attestation,,accounts[].privileged_review_age_days,Access review,Privileged access review,Restrict Administrative Privileges - ML3,CC6.2; CC6.3,A.5.18,CPS 220 monitoring and assurance,Review interval must be declared in the assessment profile.
IATO-AC-008,Access Control,planned,Conditional access baseline,Privileged and remote access is covered by approved conditional access or equivalent policy.,conditional_access[].coverage; accounts[].privileged,coverage is true for in-scope access paths,Conditional access policy export; identity sign-in logs,,conditional_access; accounts[].privileged,Authentication and access control,Authentication and access control,Multi-factor Authentication - ML3,CC6.1; CC6.6,A.5.15; A.8.5,CPS 220 operational technology controls,Applies to providers that support conditional access policy export.
IATO-AC-009,Access Control,planned,Service account ownership,Service accounts have an accountable owner and documented business purpose.,accounts[].type; accounts[].owner; accounts[].purpose,owner and purpose are present for service accounts,Service account inventory; CMDB record,,accounts[].type; accounts[].owner; accounts[].purpose,Service account management,Account management,Restrict Administrative Privileges - ML3,CC6.2,A.5.9; A.5.16,CPS 220 accountability and control ownership,Service account classification is supplied by the collector or enrichment stage.
IATO-AC-010,Access Control,planned,Service account secret rotation,Service account credentials are rotated within the approved maximum age.,service_accounts[].credential_age_days,less than or equal to maximum age,Credential inventory; vault rotation logs,,service_accounts[].credential_age_days,Authentication credentials,Authentication credentials,Restrict Administrative Privileges - ML3,CC6.1; CC6.6,A.5.17; A.8.5,CPS 220 key control monitoring,Maximum age must be declared in the assessment profile.
